Borough,Year,Population
Bronx County,1970,1471701
Bronx County,1971,1477400
Bronx County,1972,1472500
Bronx County,1973,1418900
Bronx County,1974,1381600
Bronx County,1975,1348000
Bronx County,1976,1314000
Bronx County,1977,1265500
Bronx County,1978,1220900
Bronx County,1979,1188600
Bronx County,1980,1168972
Bronx County,1981,1163912
Bronx County,1982,1164329
Bronx County,1983,1175406
Bronx County,1984,1179413
Bronx County,1985,1187894
Bronx County,1986,1198837
Bronx County,1987,1210712
Bronx County,1988,1215834
Bronx County,1989,1213675
Bronx County,1990,1203789
Bronx County,1991,1203807
Bronx County,1992,1198664
Bronx County,1993,1194024
Bronx County,1994,1196675
Bronx County,1995,1195539
Bronx County,1996,1193562
Bronx County,1997,1191082
Bronx County,1998,1190839
Bronx County,1999,1191319
Bronx County,2000,1334319
Bronx County,2001,1346555
Bronx County,2002,1358739
Bronx County,2003,1362373
Bronx County,2004,1358963
Bronx County,2005,1351736
Bronx County,2006,1348164
Bronx County,2007,1354056
Bronx County,2008,1363488
Bronx County,2009,1376261
Bronx County,2010,1386929
Bronx County,2011,1396954
Bronx County,2012,1411087
Bronx County,2013,1421498
Bronx County,2014,1430474
Bronx County,2015,1439480
Bronx County,2016,1443678
Bronx County,2017,1439956
Bronx County,2018,1432316
Bronx County,2019,1418187
Bronx County,2020,1401142
Bronx County,2021,1424948
Bronx County,2022,1381808
Bronx County,2023,1356476
