Borough,Year,Population
Brooklyn,1985,2304368
Brooklyn,1986,2320507
Brooklyn,1987,2324361
Brooklyn,1988,2326439
Brooklyn,1989,2316966
Brooklyn,1990,2300664
Brooklyn,1991,2298970
Brooklyn,1992,2288709
Brooklyn,1993,2285209
Brooklyn,1994,2286346
Brooklyn,1995,2282530
Brooklyn,1996,2274114
Brooklyn,1997,2266938
Brooklyn,1998,2266221
Brooklyn,1999,2266242
Brooklyn,2000,2467006
Brooklyn,2001,2477252
Brooklyn,2002,2480559
Brooklyn,2003,2472999
Brooklyn,2004,2459094
Brooklyn,2005,2445809
Brooklyn,2006,2436132
Brooklyn,2007,2441324
Brooklyn,2008,2460361
Brooklyn,2009,2487751
Brooklyn,2010,2509954
Brooklyn,2011,2540918
Brooklyn,2012,2568538
Brooklyn,2013,2587759
Brooklyn,2014,2601527
Brooklyn,2015,2608797
Brooklyn,2016,2608146
Brooklyn,2017,2594357
Brooklyn,2018,2580088
Brooklyn,2019,2562329
Brooklyn,2020,2538934
