Borough,Year,Population
Manhattan,1970,1539233
Manhattan,1971,1520800
Manhattan,1972,1508100
Manhattan,1973,1496100
Manhattan,1974,1494400
Manhattan,1975,1464100
Manhattan,1976,1465800
Manhattan,1977,1451800
Manhattan,1978,1436000
Manhattan,1979,1428100
Manhattan,1980,1428285
Manhattan,1981,1426006
Manhattan,1982,1422332
Manhattan,1983,1436028
Manhattan,1984,1457879
Manhattan,1985,1464286
Manhattan,1986,1475202
Manhattan,1987,1481531
Manhattan,1988,1484183
Manhattan,1989,1486046
Manhattan,1990,1487536
Manhattan,1991,1487320
Manhattan,1992,1483619
Manhattan,1993,1487034
Manhattan,1994,1497185
Manhattan,1995,1510120
Manhattan,1996,1522932
Manhattan,1997,1532700
Manhattan,1998,1541408
Manhattan,1999,1546508
Manhattan,2000,1540547
Manhattan,2001,1555729
Manhattan,2002,1555382
Manhattan,2003,1562154
Manhattan,2004,1569947
Manhattan,2005,1573573
Manhattan,2006,1578171
Manhattan,2007,1581402
Manhattan,2008,1587022
Manhattan,2009,1583431
Manhattan,2010,1589041
Manhattan,2011,1608717
Manhattan,2012,1624573
Manhattan,2013,1628379
Manhattan,2014,1631733
Manhattan,2015,1637327
Manhattan,2016,1636721
Manhattan,2017,1632337
Manhattan,2018,1632393
Manhattan,2019,1632326
Manhattan,2020,1611989
Manhattan,2021,1576876
Manhattan,2022,1594543
Manhattan,2023,1597451
