Borough,Year,Population
Bronx,1985,1187894
Bronx,1986,1198837
Bronx,1987,1210712
Bronx,1988,1215834
Bronx,1989,1213675
Bronx,1990,1203789
Bronx,1991,1203807
Bronx,1992,1198664
Bronx,1993,1194024
Bronx,1994,1196675
Bronx,1995,1195539
Bronx,1996,1193562
Bronx,1997,1191082
Bronx,1998,1190839
Bronx,1999,1191319
Bronx,2000,1334319
Bronx,2001,1346555
Bronx,2002,1358739
Bronx,2003,1362373
Bronx,2004,1358963
Bronx,2005,1351736
Bronx,2006,1348164
Bronx,2007,1354056
Bronx,2008,1363488
Bronx,2009,1376261
Bronx,2010,1386929
Bronx,2011,1396954
Bronx,2012,1411087
Bronx,2013,1421498
Bronx,2014,1430474
Bronx,2015,1439480
Bronx,2016,1443678
Bronx,2017,1439956
Bronx,2018,1432316
Bronx,2019,1418187
Bronx,2020,1401142
Brooklyn,1985,2304368
Brooklyn,1986,2320507
Brooklyn,1987,2324361
Brooklyn,1988,2326439
Brooklyn,1989,2316966
Brooklyn,1990,2300664
Brooklyn,1991,2298970
Brooklyn,1992,2288709
Brooklyn,1993,2285209
Brooklyn,1994,2286346
Brooklyn,1995,2282530
Brooklyn,1996,2274114
Brooklyn,1997,2266938
Brooklyn,1998,2266221
Brooklyn,1999,2266242
Brooklyn,2000,2467006
Brooklyn,2001,2477252
Brooklyn,2002,2480559
Brooklyn,2003,2472999
Brooklyn,2004,2459094
Brooklyn,2005,2445809
Brooklyn,2006,2436132
Brooklyn,2007,2441324
Brooklyn,2008,2460361
Brooklyn,2009,2487751
Brooklyn,2010,2509954
Brooklyn,2011,2540918
Brooklyn,2012,2568538
Brooklyn,2013,2587759
Brooklyn,2014,2601527
Brooklyn,2015,2608797
Brooklyn,2016,2608146
Brooklyn,2017,2594357
Brooklyn,2018,2580088
Brooklyn,2019,2562329
Brooklyn,2020,2538934
Manhattan,1985,1464286
Manhattan,1986,1475202
Manhattan,1987,1481531
Manhattan,1988,1484183
Manhattan,1989,1486046
Manhattan,1990,1487536
Manhattan,1991,1487320
Manhattan,1992,1483619
Manhattan,1993,1487034
Manhattan,1994,1497185
Manhattan,1995,1510120
Manhattan,1996,1522932
Manhattan,1997,1532700
Manhattan,1998,1541408
Manhattan,1999,1546508
Manhattan,2000,1540547
Manhattan,2001,1555729
Manhattan,2002,1555382
Manhattan,2003,1562154
Manhattan,2004,1569947
Manhattan,2005,1573573
Manhattan,2006,1578171
Manhattan,2007,1581402
Manhattan,2008,1587022
Manhattan,2009,1583431
Manhattan,2010,1589041
Manhattan,2011,1608717
Manhattan,2012,1624573
Manhattan,2013,1628379
Manhattan,2014,1631733
Manhattan,2015,1637327
Manhattan,2016,1636721
Manhattan,2017,1632337
Manhattan,2018,1632393
Manhattan,2019,1632326
Manhattan,2020,1611989
Queens,1985,1949579
Queens,1986,1953616
Queens,1987,1952640
Queens,1988,1951557
Queens,1989,1950425
Queens,1990,1951598
Queens,1991,1952097
Queens,1992,1948701
Queens,1993,1948705
Queens,1994,1954554
Queens,1995,1957771
Queens,1996,1962791
Queens,1997,1971550
Queens,1998,1982581
Queens,1999,1993172
Queens,2000,2230501
Queens,2001,2231316
Queens,2002,2224507
Queens,2003,2214608
Queens,2004,2198516
Queens,2005,2185222
Queens,2006,2173862
Queens,2007,2177351
Queens,2008,2193623
Queens,2009,2217166
Queens,2010,2234574
Queens,2011,2255261
Queens,2012,2271920
Queens,2013,2286788
Queens,2014,2298234
Queens,2015,2305252
Queens,2016,2306249
Queens,2017,2295226
Queens,2018,2275286
Queens,2019,2253942
Queens,2020,2225821
Staten Island,1985,367927
Staten Island,1986,371084
Staten Island,1987,373232
Staten Island,1988,375706
Staten Island,1989,377063
Staten Island,1990,378977
Staten Island,1991,379961
Staten Island,1992,384788
Staten Island,1993,389923
Staten Island,1994,394319
Staten Island,1995,395340
Staten Island,1996,396161
Staten Island,1997,398352
Staten Island,1998,401852
Staten Island,1999,406899
Staten Island,2000,445235
Staten Island,2001,448961
Staten Island,2002,452813
Staten Island,2003,455939
Staten Island,2004,456846
Staten Island,2005,457028
Staten Island,2006,457577
Staten Island,2007,459642
Staten Island,2008,463701
Staten Island,2009,466965
Staten Island,2010,469607
Staten Island,2011,471014
Staten Island,2012,470597
Staten Island,2013,471783
Staten Island,2014,471899
Staten Island,2015,472301
Staten Island,2016,474160
Staten Island,2017,475819
Staten Island,2018,476531
Staten Island,2019,476141
Staten Island,2020,475327
