Borough,Year,Population
Queens,1970,1987174
Queens,1971,1990900
Queens,1972,1985000
Queens,1973,1958100
Queens,1974,1945600
Queens,1975,1934000
Queens,1976,1929000
Queens,1977,1915400
Queens,1978,1904900
Queens,1979,1896000
Queens,1980,1891325
Queens,1981,1902587
Queens,1982,1911597
Queens,1983,1931294
Queens,1984,1943568
Queens,1985,1949579
Queens,1986,1953616
Queens,1987,1952640
Queens,1988,1951557
Queens,1989,1950425
Queens,1990,1951598
Queens,1991,1952097
Queens,1992,1948701
Queens,1993,1948705
Queens,1994,1954554
Queens,1995,1957771
Queens,1996,1962791
Queens,1997,1971550
Queens,1998,1982581
Queens,1999,1993172
Queens,2000,2230501
Queens,2001,2231316
Queens,2002,2224507
Queens,2003,2214608
Queens,2004,2198516
Queens,2005,2185222
Queens,2006,2173862
Queens,2007,2177351
Queens,2008,2193623
Queens,2009,2217166
Queens,2010,2234574
Queens,2011,2255261
Queens,2012,2271920
Queens,2013,2286788
Queens,2014,2298234
Queens,2015,2305252
Queens,2016,2306249
Queens,2017,2295226
Queens,2018,2275286
Queens,2019,2253942
Queens,2020,2225821
Queens,2021,2331143
Queens,2022,2278558
Queens,2023,2252196
