Borough,Year,Population
Staten Island,1970,295443
Staten Island,1971,304900
Staten Island,1972,309700
Staten Island,1973,315800
Staten Island,1974,320200
Staten Island,1975,323500
Staten Island,1976,327300
Staten Island,1977,331900
Staten Island,1978,339600
Staten Island,1979,346900
Staten Island,1980,352029
Staten Island,1981,356317
Staten Island,1982,359062
Staten Island,1983,361728
Staten Island,1984,364847
Staten Island,1985,367927
Staten Island,1986,371084
Staten Island,1987,373232
Staten Island,1988,375706
Staten Island,1989,377063
Staten Island,1990,378977
Staten Island,1991,379961
Staten Island,1992,384788
Staten Island,1993,389923
Staten Island,1994,394319
Staten Island,1995,395340
Staten Island,1996,396161
Staten Island,1997,398352
Staten Island,1998,401852
Staten Island,1999,406899
Staten Island,2000,445235
Staten Island,2001,448961
Staten Island,2002,452813
Staten Island,2003,455939
Staten Island,2004,456846
Staten Island,2005,457028
Staten Island,2006,457577
Staten Island,2007,459642
Staten Island,2008,463701
Staten Island,2009,466965
Staten Island,2010,469607
Staten Island,2011,471014
Staten Island,2012,470597
Staten Island,2013,471783
Staten Island,2014,471899
Staten Island,2015,472301
Staten Island,2016,474160
Staten Island,2017,475819
Staten Island,2018,476531
Staten Island,2019,476141
Staten Island,2020,475327
Staten Island,2021,493494
Staten Island,2022,491358
Staten Island,2023,490687
